time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
3982	295.593555	58.5234639	-538.206391	543.730431	1251785.77	1384938.19	22534.4231	5670.68089	-638.806389
3984	299.962246	66.1188496	-590.799411	739.982486	487.021297	43497.1804	45162288100.0	88880.0845	-691.399409
3986	300.885436	53.1734357	-557.735663	-557.735663	13609.9526	141558.481	586650.296	821070.387	529253.244
3988	296.471099	63.6362027	-560.845117	-560.845117	2870.0269	6961148.01	1039162.81	17455.632	38747196.2
3990	301.204928	55.7387861	-560.826372	172251.756	114.411054	3267391.83	20452713.1	-408.426378	128315598000.0
3992	300.672619	50.3326304	-595.395512	2895473.85	6602.66972	218687.835	38564.9691	-442.995519	15865057.8
3994	303.29677	44.187157	-575.05424	15226.6054	-17.8967985	6972.50118	29505.9987	-422.654246	27917126.6
3996	299.33948	59.9671546	-563.860152	18684411.3	175700.028	37311.2176	2894.05809	-411.460158	3352.07383
3998	296.481437	62.8574473	-548.477793	-215.407668	3934.97814	660723.221	5696503.16	4206190740.0	-649.077791
4000	300.366702	52.8425977	-522.642557	-345.74725	457959.83	23010874000.0	1986.8161	-82.1994357	-623.242556
4002	295.446356	54.8380865	-559.077913	-559.077913	120936.435	1519992.85	25778532.8	6613.25327	1434164.88
4004	298.599596	49.5355536	-578.718471	-578.718471	414896.677	1986390.52	13226010000.0	27701.055	3089.69528
4006	300.822375	52.6890787	-561.822013	2609762.56	2879.94486	155614606000.0	10226.7995	179.331391	-662.422012
4008	299.571496	84.6072463	-582.024058	17306133.7	202480574000.0	4858.1578	156262957.0	6678.82352	-682.624056
4010	293.557863	63.0814336	-544.226227	13.7699724	-37.5626581	5942584.97	379118.552	-391.826233	78608741.9
4012	297.922882	41.7055715	-517.89423	653.860791	2684.6783	915681.157	78985280.5	-365.494236	1596.99963
4014	294.997451	63.5978068	-535.774452	-535.774452	13474.5615	708791686.0	45717163500.0	144734.337	8771216.76
4016	301.958458	63.9488521	-542.2845	-26.5452472	3843.62183	11570938.5	9516579.98	546.794157	-642.884498
4018	295.88929	50.1245031	-570.572943	583148.915	28766.9001	48527.4362	86059.1804	-418.172949	24646.2828
4020	302.033065	61.7527628	-563.822861	164417.658	5400.78199	273640.195	8351.83941	-411.422867	9416563.39
4022	296.711987	53.3680275	-544.544915	-544.544915	47005.2473	1214062.66	167534.434	7704001.54	1362437.77
4024	294.169246	77.1386025	-495.975015	2917.80204	7318.5233	26904.2653	1917.08303	3597.38554	-596.575013
4026	297.672384	64.6635711	-568.312561	7186.77104	97929.9865	113858.42	5086268550000.0	-415.912567	224584.941
4028	297.09351	52.4458256	-548.350798	1106.85633	4703181.42	183515169.0	4595.66758	-395.950804	1285737.61
4030	291.089839	45.6033721	-536.216528	34900820.1	463.699743	483132632.0	1020052.1	-383.816534	11709310.8
4032	296.64334	60.756191	-548.272614	89.9135559	46172058500.0	65982.5828	33269.2818	-395.87262	21204174.1
4034	297.745623	74.5877658	-568.0758	294497.288	6687226.4	386587.252	28144.4759	1080.65253	-668.675799
4036	296.602838	61.0465717	-573.784551	191038.432	652.079553	5212371150.0	2886.41686	-421.384557	261943.178
4038	297.986738	40.532209	-535.579579	-535.579579	556.692462	62167.5179	40031.9648	225944.28	5612.78939
4040	299.218648	69.0649593	-504.296241	-504.296241	6714.29771	573042631.0	35723.0961	76013.4737	4275.69322
4042	302.044424	67.9853928	-575.191245	7329789570.0	2358.99291	38271.2103	35655.2281	-422.791251	693.364656
4044	295.192482	49.3910231	-567.124073	37535.0733	411135.045	1905246680.0	2093.81906	8350.14217	-667.724071
4046	296.023713	69.8590283	-564.489063	101349074.0	17713.3749	813418385.0	524373822.0	16085.0588	-665.089061
4048	298.422792	54.338869	-546.802935	7592.8477	286121.958	11204.684	19298.9736	-394.402941	16676.2516
4050	293.678174	55.2027931	-519.480391	136.059885	285.418632	307368.832	38793.1789	-367.080397	17981161.5
4052	297.502256	69.2094849	-496.320008	32478.6533	55984.6853	1121172.84	880890699.0	-343.920014	3924604.59
4054	297.307494	59.2230158	-535.230922	1346.30924	7695407.19	2945840.07	20276238700.0	-382.830928	15553.1337
4056	298.781934	48.8659041	-591.772954	5377.32206	19566.9942	318424881.0	2985.28417	1550.89081	-692.372953
4058	295.051842	60.5543455	-588.897529	13811725.9	264967.113	102353.997	4562.78539	-436.497535	15365.4332
4060	296.351388	56.125452	-568.045102	248.149805	7167.84157	34347.5583	521465296.0	73946.1005	-668.645101
4062	301.448162	39.3062631	-576.046367	3183654640.0	1026.56507	214288.167	26903.356	3314.02546	-676.646366
4064	298.100617	44.0668032	-558.963599	65636.9335	1190.0585	31709.6639	841508851.0	41864.8288	-659.563598
4066	301.38004	78.450892	-582.961453	487767.904	14693640.9	3577997.04	7315.41524	2218051.66	-683.561452
4068	300.382561	57.9067256	-525.09293	8370106.3	23331.4645	6725865.72	817423.924	-372.692936	2445803.65
4070	294.441276	50.0154531	-554.112792	284.027141	9648.68563	723346728000.0	201019174.0	-401.712798	85650.7758
4072	292.118972	45.3839056	-582.158923	3742.41244	20483.381	1042385.09	28385.8051	163103.305	-682.758922
4074	302.389593	52.2288359	-539.160518	27428.1839	24602089.8	-663.190517	25696.3079	-90.6110988	327.800352
4076	300.21449	55.1780052	-573.737935	3492.22069	240423.241	65303.4365	5665.23079	34911555100000.0	-674.337934
4078	297.329198	44.2810994	-577.022946	3074.59151	1212.80663	26912.653	22687441800.0	1163.33936	-677.622945
4080	296.724546	58.8276861	-549.361958	258541.801	4447.54862	1113673.5	275279.041	838686.71	-649.961956
4082	298.541308	51.2800865	-580.551348	4616.67296	2639810.84	195560.991	201591.886	7527.85764	-681.151347
4084	300.373239	48.7997892	-539.115411	372764.145	533217.472	683328.689	486847519.0	-386.715417	303763.86
4086	299.17992	76.182525	-548.133733	781761.739	1556.08137	1811363930.0	116816.223	-395.73374	1118774300.0
4088	295.001179	56.8602202	-556.933649	2680.54494	23225620200.0	2288726.64	27337806.1	23242.9139	-657.533648
4090	294.25276	86.8389974	-529.355067	21081.0346	507.431605	6287.2732	21719.4779	-376.955073	41269.9851
4092	299.137153	64.4564307	-548.262829	-40.4027914	2033.63067	23541.2534	11985.7222	-395.862835	11055.2142
4094	295.993207	64.4401225	-593.109008	349.871655	1405640060.0	347095.025	6798.13202	336.086067	-693.709006
4096	299.107342	68.8102098	-531.318365	740970.369	1486.23047	55557.4753	6289690050.0	259256.313	-631.918364
4098	299.768192	52.6886137	-541.986564	-268.920603	271662.546	-666.016563	62988.1891	3949.65425	4905.31784
4100	297.867226	54.6921676	-568.946437	542.924808	317036068.0	5164674590000.0	16611.3341	3.88270918	-669.546435
4102	296.937038	38.8015216	-562.468887	1305.624	11230.3993	112054.442	6803.82058	1217095790.0	-663.068885
4104	296.078245	54.7754519	-540.379271	419332.069	24470.5079	141500.8	164677744.0	2.34398332e+19	-640.979269
4106	299.998054	73.4608777	-560.331603	2373.37005	7844912260.0	82299562.6	5510775960.0	-407.931609	403356.006
4108	299.518848	53.5901419	-549.623569	5452.21933	790.495905	7506.12856	330889.823	-397.223575	17655.427
4110	294.194234	51.4986753	-527.481906	53585.1978	1746575.91	1185.87921	10357.9893	-375.081912	886.861595
4112	293.734565	38.5477251	-564.463487	448.482906	589.820392	63708707.2	185519297000.0	-412.063493	800373.294
4114	302.504328	63.6354973	-584.379246	511.36496	136.061058	4224786.11	143428541.0	-431.979252	3095.00099
4116	297.84542	78.4102116	-543.096234	205182004.0	1860.08256	3675.89053	49806.6013	424.723063	-643.696233
4118	299.812676	62.9441345	-537.269423	19644.4738	67.7370598	43615.4846	127818.377	803903.419	-637.869422
4120	294.466884	60.6978402	-558.355761	3077376.0	44128.58	48396.9849	1723371.2	7277935.92	-658.95576
4122	299.972772	59.3039883	-551.798016	2391.33248	1921846.74	10488764.1	449091115.0	2207.66145	-652.398014
4124	298.77472	60.4785183	-610.604662	8515.95317	104.459262	10112862900.0	11034.7716	12116.3332	-711.20466
4126	298.683577	68.6194145	-509.428082	10968.8975	71427.579	7175675060.0	12679.713	3535.09254	-610.028081
4128	300.432315	65.9348697	-534.664412	625.399939	19415.9129	2834.99951	3921.03463	-91.6809836	-635.264411
4130	297.615894	60.4712765	-547.230258	76852.4086	21786.9845	1099351.27	1228294.86	42089712.4	-647.830256
4132	301.803325	64.8488903	-566.352968	29791528.1	851187614.0	26673652900.0	6377114.74	114786.627	-666.952967
4134	299.370578	78.0164674	-574.868569	23783382100.0	16942.2893	922361.512	1286354.7	2951560.92	-675.468567
4136	296.058103	58.7765509	-564.249943	10.9552382	4147618.33	1525752.57	15721464600000.0	1361305.9	-664.849942
4138	295.37408	81.330991	-531.876517	545.480768	21142977.1	26944084.1	3602.86483	-379.476523	591.332713
4140	297.68942	71.3073472	-558.404353	32846.5646	37584.8789	98149.9683	23207407.6	14359.3913	-659.004352
4142	294.516536	51.2985149	-542.873869	172087.315	24589.0779	3032995.73	597051.512	95684.0067	-643.473868
4144	298.007542	66.4794335	-513.746915	3409666.7	10331.4007	510783197.0	1868496.45	390.066885	-614.346913
4146	294.981793	46.3110512	-532.314325	-173.977231	3015.66325	42434768.5	633856.554	4811.18631	-632.914323
4148	296.278336	72.0712494	-541.798589	3157928.37	5970.57983	288716825.0	18440.9667	20514.4962	-642.398588
4150	297.966859	49.5048274	-593.277066	1034696850.0	45473549.6	3564587940.0	1843131390.0	57892037.6	-693.877065
4152	299.533349	59.9686967	-491.012587	148772.844	311684.303	10338.6984	44709.0261	338.344781	-591.612585
4154	299.332665	58.8097577	-548.715366	13991.5886	1324038.55	1049267530.0	17866.7915	4823336.28	-649.315365
4156	292.446164	65.1711362	-572.660775	5521.07608	-89.3665216	2717.11004	5298.79481	4947241510.0	-673.260773
4158	300.099687	54.6303064	-566.958481	5400.64062	4327.71756	1656180370.0	1011250220.0	342920053.0	-667.55848
4160	290.916725	68.1272588	-584.14349	1157.88005	3637993.12	39065022.0	305420.415	-431.743496	4245879.17
4162	298.242884	83.08454	-569.399139	546917.09	746657897.0	1118503.45	928245.376	31.1912888	-669.999137
4164	293.274241	67.1904086	-546.355901	5159172350000.0	210.442267	2727.48073	712.906359	58.7941392	-646.955899
4166	295.194879	63.0192501	-590.526668	-255.344304	161099.523	21713.0148	-152.83206	-135.719514	-691.126667
4168	295.986492	66.9480073	-574.1392	81953181.9	2702244.42	10798.0572	2234904.49	23577.434	-674.739199
4170	300.620274	70.9878894	-531.044632	24371.9206	12842.7709	1133418910.0	38089481.0	1597.30201	-631.644631
4172	301.103621	67.6395389	-528.938359	2420.23326	2134.89971	16526027.3	2863292090.0	5295.28036	-629.538357
4174	292.902059	77.4549869	-582.343337	34869.9409	1031.39743	3203608.0	177235.507	309.273623	-682.943336
4176	291.187573	55.5691166	-492.892654	-71.969516	611.58671	3132064.29	541889066.0	1724.12867	-593.492652
4178	289.664895	67.2221681	-508.655496	4440.22181	34639.8147	85482198.7	242206230.0	31364.559	-609.255494
4180	302.114529	76.9207006	-495.198296	65238589.5	694058.645	748.757167	128561600.0	1408.475	-595.798294
4182	295.477781	55.2250392	-513.849768	2039.27672	1258.89736	1405754.14	839487959.0	31000.925	-614.449767
4184	292.984804	39.9740277	-572.213514	-29.7694072	5153.89171	6430.83751	10595873900.0	50.6578311	-672.813512
4186	298.113549	72.8433821	-530.187363	11975310.6	12227591700.0	7991943.34	8567218.71	324.594498	-630.787362
4188	292.686235	64.4882558	-612.605972	192.827429	8508193.68	325488.889	13587.8353	5853903370.0	-713.205971
4190	298.837141	39.5231062	-539.277635	-271.905556	25609.5743	68576186600.0	5271224860.0	7522668.12	-639.877634
4192	299.579248	66.2812958	-602.825078	39778.1812	24435.948	5326.75854	484658.163	197.444897	-703.425076
4194	295.849965	68.9027413	-565.740514	2943.01314	1316.58596	2200216380.0	228605090000.0	103484047000000.0	-666.340512
4196	302.649219	57.1805824	-521.458872	4219.36776	875.958525	2080164.78	270572.741	1286.99005	-622.058871
4198	300.36907	57.7892295	-568.605315	-25.5338185	1244.82444	152258.897	5731439050.0	-416.205322	500922.665
4200	305.724531	65.9009914	-585.655142	472.095404	49574014.1	1778704810.0	19375.0082	908079.139	-686.25514
4202	302.358753	69.3193392	-540.306894	81664003.2	24588664.5	704231776.0	33803.0179	-387.906901	98499.5423
4204	295.620031	57.3527568	-600.298563	10868310.8	376395.466	19817315.7	48636694.2	1294013.5	-700.898562
4206	301.685947	78.425537	-555.46306	298099.276	147629416.0	168575.334	14679.145	20454.5943	-656.063059
4208	297.735616	71.4894542	-549.929418	1817.56288	4912.126	2056255.51	9159344450.0	77464.8587	-650.529416
4210	295.761554	73.8154642	-564.85385	-179.473513	19504.1135	3530.92581	15459.7447	348.929528	-665.453848
