time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
2756	298.668998	0	-428.365661	3049094.33	8987552.8	7838849.36	60361.6183	4278545.6	-548.115661
2758	303.435044	0	-486.758142	2892.38109	13990.3122	24376.5447	91134.1738	-27.8676537	-606.508141
2760	302.909692	0	-450.442527	9475.3333	3947.10133	413.118837	372828774.0	48676.0203	-570.192527
2762	296.369948	0	-464.359294	-190.718602	4799.72646	617.687315	722833.27	2595.22151	-584.109294
2764	297.447981	0	-461.768941	145049.351	474.224625	142720.319	3482.11422	-68.5729588	-581.518941
2766	299.519896	0	-460.660269	216.737329	15672478.6	105648321.0	29213.4722	-317.700262	-84.1529167
2768	298.668169	0	-418.281724	450.156232	-188.015347	63.1084643	40.7184279	-146.668728	-538.031724
2770	294.646593	0	-480.682651	1417.87034	3087.55733	-339.718188	597594.682	4911.98006	-600.432651
2772	295.595736	0	-460.035407	419821.248	1655.25973	185829597.0	-225.955405	5477.65838	-145.596916
2774	292.750257	0	-449.382892	144076.592	33724.1573	616031.32	4122021.71	198.035672	-569.132892
2776	297.262621	0	-469.049761	5105.80853	20670.8469	868796.541	546057.671	-326.089755	160.006791
2778	294.654831	0	-474.946018	26747.1193	577.476584	-611.866016	4430.63804	-173.832139	-505.533879
2780	301.095761	0	-472.128763	12467.4831	610.943626	961064.056	47664.7818	107.268553	-591.878763
2782	294.029943	0	-451.187603	11.1288141	781.847048	394.095843	3694.81042	586.624257	-570.937603
2784	295.933085	0	-476.938532	1359.40848	878.45773	-613.85853	207.281836	-182.125541	-153.312948
2786	297.035259	0	-476.110154	176118.836	14276.9703	-613.030152	540005.521	95583.9756	-368.574907
2788	302.232047	0	-447.537433	-222.807493	1793158.39	2924.55474	39813715.3	277640.563	-567.287433
2790	302.444798	0	-487.5275	162825.807	438782.389	2516.7851	16456327.2	575567.261	-607.2775
2792	296.108847	0	-456.196855	2648133.09	9869077.53	1526.44278	74349.2416	2157153.93	-575.946855
2794	297.65543	0	-451.857339	-363.524211	155635.945	-588.777337	78.772316	-212.043405	-287.470774
2796	299.541631	0	-410.183058	-410.183058	39228287.7	77576876.9	120456.263	285623894.0	136811.817
2798	296.767835	0	-443.245724	392632.156	205380.162	90209960.1	16715559800000.0	14522874.3	-562.995724
2800	290.53129	0	-451.145185	-451.145185	280378.036	268039505000.0	1399770.33	-124.895382	-265.673874
2802	301.051824	0	-418.448849	135949.523	1134.94672	2126192560.0	11478113900.0	-17.8222695	-538.198849
